"代碼","學校名稱","系組名稱","國文權重","英文權重","數學權重","社會權重","自然權重","第一階段最低篩選標準"
"101001","國立臺灣科技大學","機械工程系","1.00","1.00","1.00","0.00","1.00","90.00"
"101002","國立臺灣科技大學","材料科學與工程系","1.00","2.00","2.00","1.00","2.00","84.17"
"101003","國立臺灣科技大學","營建工程系","1.00","2.00","2.00","1.00","2.00","81.67"
"101004","國立臺灣科技大學","化學工程系","1.00","2.00","2.00","1.00","2.00","86.67"
"101005","國立臺灣科技大學","電子工程系","1.00","2.00","2.00","1.00","2.00","80.83"
"101006","國立臺灣科技大學","電機工程系","2.00","2.00","2.00","1.00","2.00","90.37"
"101007","國立臺灣科技大學","資訊工程系","1.00","2.00","3.00","1.00","2.00","89.63"
"101008","國立臺灣科技大學","工業管理系","1.00","1.00","1.00","1.00","1.00","78.67"
"101009","國立臺灣科技大學","企業管理系","1.00","2.00","2.00","1.00","1.00","86.67"
"101010","國立臺灣科技大學","資訊管理系","1.00","2.00","2.00","1.00","1.00","87.62"
"101011","國立臺灣科技大學","建築系","1.00","1.00","1.00","1.00","1.00","85.33"
"101012","國立臺灣科技大學","應用外語系","1.00","2.00","1.00","1.00","1.00","91.11"
"101013","國立臺灣科技大學","不分系學士班","1.00","1.00","1.00","1.00","1.00","68.00"
"101014","國立臺灣科技大學","工程學士班","1.00","2.00","2.00","1.00","2.00","81.67"
"101015","國立臺灣科技大學","電資學士班","1.00","2.00","2.00","1.00","2.00","86.67"
"101016","國立臺灣科技大學","管理學士班","1.00","1.00","1.00","1.00","1.00","81.33"
"101017","國立臺灣科技大學","工商業設計系工業設計組","2.00","2.00","1.00","1.00","1.00","84.76"
"101018","國立臺灣科技大學","工商業設計系商業設計組","2.00","2.00","1.00","1.00","1.00","84.76"
"102001","國立雲林科技大學","環境與安全衛生工程系","1.00","2.00","2.00","0.00","2.00","70.48"
"102002","國立雲林科技大學","工程科技菁英班","1.00","1.00","2.00","0.00","2.00","73.33"
"102003","國立雲林科技大學","工業工程與管理系","1.00","2.00","2.00","0.00","0.00","66.67"
"102004","國立雲林科技大學","國際管理學士學位學程","3.00","10.00","2.00","3.00","0.00","72.96"
"102005","國立雲林科技大學","工業設計系","1.00","2.00","2.00","1.00","1.00","80.00"
"102006","國立雲林科技大學","建築與室內設計系建築組","1.00","1.00","1.00","1.00","1.00","84.00"
"102007","國立雲林科技大學","建築與室內設計系室內組","1.00","1.00","1.00","1.00","1.00","82.67"
"102008","國立雲林科技大學","數位媒體設計系","2.00","2.00","1.00","1.00","1.00","80.95"
"102009","國立雲林科技大學","創意生活設計系","2.00","3.00","1.00","1.00","1.00","70.83"
"102010","國立雲林科技大學","文化資產維護系","1.00","1.00","1.00","1.00","1.00","65.33"
"103001","國立屏東科技大學","農園生產系","1.00","1.00","1.00","1.00","1.00","70.67"
"103002","國立屏東科技大學","森林系","2.00","1.00","1.00","1.00","1.00","66.67"
"103003","國立屏東科技大學","水產養殖系","1.00","1.00","1.00","1.00","1.00","66.67"
"103004","國立屏東科技大學","動物科學與畜產系","1.00","1.00","1.00","1.00","1.00","72.00"
"103005","國立屏東科技大學","植物醫學系","1.00","1.00","1.00","1.00","1.00","73.33"
