"排名","ID","申請人中文名稱","發明","新型","設計","總計"
"1 ","04541302 ","鴻海精密工業股份有限公司 ","596 ","31 ","32 ","659 "
"2 ","22099131 ","台灣積體電路製造股份有限公司 ","502 ","0 ","1 ","503 "
"3 ","92942817 ","財團法人工業技術研究院 ","447 ","17 ","2 ","466 "
"4 ","20828393 ","宏碁股份有限公司 ","301 ","102 ","16 ","419 "
"5 ","84149738 ","友達光電股份有限公司 ","283 ","20 ","0 ","303 "
"6 ","73502016 ","遠東科技大學 ","107 ","171 ","0 ","278 "
"7 ","04322046 ","英業達股份有限公司 ","210 ","0 ","0 ","210 "
"8 ","22099548 ","旺宏電子股份有限公司 ","197 ","0 ","0 ","197 "
"9 ","34051920 ","台達電子工業股份有限公司 ","147 ","26 ","16 ","189 "
"10 ","29902611 ","城市學校財團法人臺北城市科技大學 ","14 ","169 ","3 ","186 "
"11 ","16003518 ","宏達國際電子股份有限公司 ","147 ","0 ","33 ","180 "
"12 ","96979933 ","中華電信股份有限公司 ","162 ","7 ","2 ","171 "
"12 ","30414175 ","中國鋼鐵股份有限公司 ","86 ","85 ","0 ","171 "
"14 ","73502634 ","南臺科技大學 ","95 ","73 ","2 ","170 "
"15 ","23708082 ","聯府塑膠股份有限公司 ","0 ","34 ","109 ","143 "
"16 ","12868358 ","緯創資通股份有限公司 ","135 ","3 ","1 ","139 "
"17 ","83300307 ","財團法人金屬工業研究發展中心 ","130 ","5 ","0 ","135 "
"18 ","12781472 ","群邁通訊股份有限公司 ","131 ","1 ","1 ","133 "
"19 ","22822281 ","廣達電腦股份有限公司 ","105 ","13 ","9 ","127 "
"20 ","45002806 ","健行學校財團法人健行科技大學 ","5 ","121 ","0 ","126 "
"21 ","46804804 ","國立清華大學 ","123 ","2 ","0 ","125 "
"22 ","22301825 ","先進光電科技股份有限公司 ","115 ","3 ","0 ","118 "
"23 ","47217677 ","聯華電子股份有限公司 ","111 ","4 ","0 ","115 "
"24 ","69115908 ","國立成功大學 ","101 ","13 ","0 ","114 "
"24 ","57301337 ","國立勤益科技大學 ","69 ","43 ","2 ","114 "
"26 ","73251209 ","統一企業股份有限公司 ","12 ","89 ","7 ","108 "
"27 ","46804706 ","國立交通大學 ","105 ","2 ","0 ","107 "
"28 ","22099218 ","華邦電子股份有限公司 ","97 ","0 ","0 ","97 "
"29 ","22671299 ","瑞昱半導體股份有限公司 ","95 ","0 ","0 ","95 "
"30 ","12800225 ","群創光電股份有限公司 ","87 ","2 ","0 ","89 "
"31 ","05076416 ","財團法人資訊工業策進會 ","85 ","1 ","0 ","86 "
"31 ","12490306 ","佳世達科技股份有限公司 ","83 ","1 ","2 ","86 "
"33 ","04126516 ","國立臺灣科技大學 ","78 ","7 ","0 ","85 "
"33 ","84149786 ","晶元光電股份有限公司 ","53 ","4 ","28 ","85 "
"35 ","73502108 ","崑山科技大學 ","72 ","8 ","2 ","82 "
"36 ","80336647 ","晨星半導體股份有限公司 ","77 ","0 ","0 ","77 "
"37 ","84149385 ","力晶科技股份有限公司 ","74 ","1 ","0 ","75 "
"37 ","16347324 ","台郡科技股份有限公司 ","5 ","70 ","0 ","75 "
"39 ","16081507 ","達方電子股份有限公司 ","72 ","2 ","0 ","74 "
"39 ","66024658 ","吳鳳學校財團法人吳鳳科技大學 ","15 ","59 ","0 ","74 "
"41 ","68387705 ","奇美實業股份有限公司 ","72 ","0 ","0 ","72 "
"41 ","23503047 ","上銀科技股份有限公司 ","45 ","19 ","8 ","72 "
"43 ","86427715 ","奇鋐科技股份有限公司 ","37 ","33 ","0 ","70 "
"43 ","22248651 ","連展科技股份有限公司 ","18 ","39 ","13 ","70 "
"45 ","23638777 ","華碩電腦股份有限公司 ","33 ","28 ","8 ","69 "
"45 ","24284436 ","群光電能科技股份有限公司 ","27 ","42 ","0 ","69 "
"47 ","45002910 ","國家中山科學研究院 ","51 ","15 ","1 ","67 "
"48 ","75195800 ","光陽工業股份有限公司 ","57 ","6 ","3 ","66 "
"48 ","24635910 ","優克材料科技股份有限公司 ","38 ","28 ","0 ","66 "
"48 ","24004006 ","三陽工業股份有限公司 ","24 ","38 ","4 ","66 "
"51 ","02717206 ","行政院原子能委員會核能研究所 ","65 ","0 ","0 ","65 "
"52 ","85503904 ","正修科技大學 ","13 ","49 ","2 ","64 "
"52 ","43642383 ","萬能學校財團法人萬能科技大學 ","11 ","33 ","20 ","64 "
"52 ","60001714 ","中州學校財團法人中州科技大學 ","2 ","62 ","0 ","64 "
"55 ","87900886 ","樹德科技大學 ","27 ","32 ","4 ","63 "
"55 ","22223510 ","正崴精密工業股份有限公司 ","8 ","41 ","14 ","63 "
"57 ","76014406 ","國立高雄應用科技大學 ","50 ","12 ","0 ","62 "
"58 ","16633261 ","原相科技股份有限公司 ","60 ","1 ","0 ","61 "
"58 ","22480876 ","大立光電股份有限公司 ","45 ","16 ","0 ","61 "
"60 ","30862124 ","臻鼎科技股份有限公司 ","59 ","1 ","0 ","60 "
"60 ","61604220 ","南開科技大學 ","45 ","15 ","0 ","60 "
"62 ","28689155 ","和碩聯合科技股份有限公司 ","46 ","13 ","0 ","59 "
"62 ","12979925 ","新世紀光電股份有限公司 ","42 ","3 ","14 ","59 "
"62 ","07928004 ","高苑科技大學 ","3 ","56 ","0 ","59 "
"65 ","89647050 ","旺矽科技股份有限公司 ","52 ","6 ","0 ","58 "
"65 ","73653920 ","龍鋒企業股份有限公司 ","0 ","0 ","58 ","58 "
"67 ","64967512 ","國立虎尾科技大學 ","42 ","15 ","0 ","57 "
"67 ","02612809 ","長庚學校財團法人長庚科技大學 ","7 ","49 ","1 ","57 "
"69 ","55991080 ","矽品精密工業股份有限公司 ","56 ","0 ","0 ","56 "
"69 ","97331723 ","啟碁科技股份有限公司 ","54 ","1 ","1 ","56 "
"69 ","97111045 ","研能科技股份有限公司 ","38 ","16 ","2 ","56 "
"69 ","17713214 ","亞洲大學 ","12 ","41 ","3 ","56 "
"73 ","12649951 ","群聯電子股份有限公司 ","51 ","2 ","2 ","55 "
"73 ","23535435 ","欣興電子股份有限公司 ","37 ","18 ","0 ","55 "
"75 ","92021164 ","國立臺北科技大學 ","43 ","8 ","2 ","53 "
"76 ","22044755 ","技嘉科技股份有限公司 ","48 ","4 ","0 ","52 "
"76 ","28112694 ","隆達電子股份有限公司 ","39 ","2 ","11 ","52 "
"76 ","21222725 ","仁寶電腦工業股份有限公司 ","24 ","11 ","17 ","52 "
"79 ","45002502 ","中原大學 ","35 ","15 ","0 ","50 "
"80 ","76211194 ","國立中山大學 ","49 ","0 ","0 ","49 "
"80 ","97015768 ","萬潤科技股份有限公司 ","48 ","1 ","0 ","49 "
"80 ","03811209 ","中央研究院 ","47 ","2 ","0 ","49 "
"83 ","22274989 ","川湖科技股份有限公司 ","48 ","0 ","0 ","48 "
"83 ","45002931 ","國立中央大學 ","46 ","2 ","0 ","48 "
"83 ","91004103 ","國立屏東科技大學 ","45 ","3 ","0 ","48 "
"83 ","45002545 ","龍華科技大學 ","27 ","21 ","0 ","48 "
"87 ","52024101 ","國立中興大學 ","47 ","0 ","0 ","47 "
"87 ","11511090 ","皇冠金屬工業股份有限公司 ","7 ","1 ","39 ","47 "
