"排名","申請人中文名稱","申請人英文名稱","發明","新型","設計","總計"
"1 ","英特爾股份有限公司 ","INTEL CORPORATION ","956 ","0 ","0 ","956 "
"2 ","東芝股份有限公司 ","TOSHIBA CORPORATION ","404 ","0 ","9 ","413 "
"3 ","東京威力科創股份有限公司","TOKYO ELECTRON LIMITED ","389 ","1 ","14 ","404 "
"4 ","應用材料股份有限公司 ","APPLIED MATERIALS, INC. ","370 ","11 ","5 ","386 "
"5 ","富士軟片股份有限公司 ","FUJIFILM CORPORATION ","358 ","6 ","3 ","367 "
"6 ","半導體能源研究所股份有限公司","SEMICONDUCTOR ENERGY LABORATORY CO., LTD.","351 ","0 ","0 ","351 "
"7 ","蘋果股份有限公司 ","APPLE INC. ","219 ","8 ","85 ","312 "
"8 ","日東電工股份有限公司 ","NITTO DENKO CORPORATION ","300 ","1 ","2 ","303 "
"9 ","三菱電機股份有限公司 ","MITSUBISHI ELECTRIC CORPORATION ","224 ","0 ","29 ","253 "
"10 ","三星電子股份有限公司 ","SAMSUNG ELECTRONICS CO., LTD. ","194 ","0 ","55 ","249 "
"11 ","英屬開曼群島商鴻騰精密科技股份有限公司","FOXCONN INTERCONNECT TECHNOLOGY LIMITED","131 ","108 ","7 ","246 "
"12 ","惠普發展公司有限責任合夥企業","HEWLETT-PACKARD DEVELOPMENT COMPANY, L. P.","237 ","0 ","3 ","240 "
"13 ","高通公司 ","QUALCOMM INCORPORATED ","239 ","0 ","0 ","239 "
"14 ","住友化學股份有限公司 ","SUMITOMO CHEMICAL CO., LTD. ","232 ","0 ","0 ","232 "
"15 ","康寧公司 ","CORNING INCORPORATED ","214 ","0 ","0 ","214 "
"16 ","３Ｍ新設資產公司","3M INNOVATIVE PROPERTIES COMPANY","181 ","3 ","26 ","210 "
"17 ","精工愛普生股份有限公司","SEIKO EPSON CORPORATION ","193 ","0 ","16 ","209 "
"18 ","信越化學工業股份有限公司","SHIN-ETSU CHEMICAL CO., LTD. ","199 ","0 ","0 ","199 "
"19 ","阿里巴巴集團服務有限公司","ALIBABA GROUP SERVICES LIMITED ","198 ","0 ","0 ","198 "
"20 ","松下知識產權經營股份有限公司","PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.","145 ","3 ","41 ","189 "
"21 ","迪思科股份有限公司 ","DISCO CORPORATION ","170 ","0 ","0 ","170 "
"22 ","英特爾智財公司 ","INTEL IP CORPORATION ","169 ","0 ","0 ","169 "
"23 ","島野股份有限公司 ","SHIMANO INC. ","131 ","21 ","11 ","163 "
"24 ","蘭姆研究公司 ","LAM RESEARCH CORPORATION ","157 ","0 ","2 ","159 "
"25 ","日產化學工業股份有限公司","NISSAN CHEMICAL INDUSTRIES, LTD. ","158 ","0 ","0 ","158 "
"25 ","東麗股份有限公司 ","TORAY INDUSTRIES, INC. ","150 ","0 ","8 ","158 "
"27 ","新力股份有限公司 ","SONY CORPORATION ","157 ","0 ","0 ","157 "
"28 ","東友精細化工有限公司 ","DONGWOO FINE-CHEM CO., LTD. ","151 ","5 ","0 ","156 "
"29 ","LG 化學股份有限公司 ","LG CHEM, LTD. ","146 ","0 ","0 ","146 "
"30 ","微軟技術授權有限責任公司","MICROSOFT TECHNOLOGY LICENSING, LLC","145 ","0 ","0 ","145 "
"31 ","旭硝子股份有限公司 ","ASAHI GLASS COMPANY, LIMITED ","143 ","0 ","0 ","143 "
"32 ","瑞薩電子股份有限公司 ","RENESAS ELECTRONICS CORPORATION ","140 ","0 ","0 ","140 "
"33 ","琳得科股份有限公司 ","LINTEC CORPORATION ","135 ","0 ","0 ","135 "
"34 ","迪睿合股份有限公司 ","DEXERIALS CORPORATION ","126 ","0 ","0 ","126 "
"35 ","鴻富錦精密工業（武漢）有限公司","HONG FU JIN PRECISION INDUSTRY (WUHAN) CO., LTD.","118 ","1 ","2 ","121 "
"36 ","三星顯示器有限公司 ","SAMSUNG DISPLAY CO., LTD. ","118 ","0 ","0 ","118 "
"37 ","馬克專利公司 ","MERCK PATENT GMBH ","111 ","0 ","0 ","111 "
"38 ","日立化成工業股份有限公司","HITACHI CHEMICAL COMPANY. LTD. ","110 ","0 ","0 ","110 "
"39 ","湯姆生特許公司 ","THOMSON LICENSING ","108 ","0 ","0 ","108 "
"40 ","愛思開海力士有限公司 ","SK HYNIX INC. ","107 ","0 ","0 ","107 "
"40 ","可樂麗股份有限公司 ","KURARAY CO., LTD. ","104 ","3 ","0 ","107 "
"42 ","ＡＳＭＬ荷蘭公司 ","ASML NETHERLANDS B. V. ","105 ","0 ","0 ","105 "
"42 ","迪愛生股份有限公司 ","DIC CORPORATION ","105 ","0 ","0 ","105 "
"42 ","斯克林集團公司 ","SCREEN HOLDINGS CO., LTD. ","105 ","0 ","0 ","105 "
"45 ","三星 SDI 股份有限公司 ","SAMSUNG SDI CO., LTD. ","104 ","0 ","0 ","104 "
"46 ","荏原製作所股份有限公司","EBARA CORPORATION ","83 ","0 ","19 ","102 "
"46 ","宸鴻科技(廈門)有限公司 ","TPK TOUCH SOLUTIONS(XIAMEN) INC. ","51 ","51 ","0 ","102 "
"46 ","ＢＭＷ股份有限公司","BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT","0 ","0 ","102 ","102 "
"49 ","本田技研工業股份有限公司","HONDA MOTOR CO., LTD. ","24 ","0 ","77 ","101 "
"50 ","美光科技公司 ","MICRON TECHNOLOGY, INC. ","99 ","0 ","0 ","99 "
"50 ","三星鑽石工業股份有限公司","MITSUBOSHI DIAMOND INDUSTRIAL CO., LTD.","99 ","0 ","0 ","99 "
"52 ","克萊譚克公司 ","KLA-TENCOR CORPORATION ","96 ","1 ","0 ","97 "
"52 ","山葉發動機股份有限公司","YAMAHA HATSUDOKI KABUSHIKI KAISHA","84 ","0 ","13 ","97 "
"54 ","摩勒克斯公司 ","MOLEX INCORPORATED ","43 ","44 ","7 ","94 "
"55 ","陶氏農業科學公司 ","DOW AGROSCIENCES LLC ","92 ","0 ","0 ","92 "
"55 ","積水化學工業股份有限公司","SEKISUI CHEMICAL CO., LTD. ","92 ","0 ","0 ","92 "
"55 ","佳能股份有限公司 ","CANON KABUSHIKI KAISHA ","87 ","0 ","5 ","92 "
"58 ","ＹＫＫ股份有限公司 ","YKK CORPORATION ","87 ","2 ","2 ","91 "
"59 ","優你 嬌美股份有限公司","UNI-CHARM CORPORATION ","89 ","0 ","1 ","90 "
"60 ","業成光電（深圳）有限公司","INTERFACE OPTOELECTRONICS (SHENZHEN) CO., LTD.","89 ","0 ","0 ","89 "
"61 ","三菱瓦斯化學股份有限公司","MITSUBISHI GAS CHEMICAL COMPANY, INC.","85 ","0 ","0 ","85 "
"62 ","巴斯夫歐洲公司 ","BASF SE ","83 ","0 ","0 ","83 "
